國立清華大學,體育學系,18 新竹市,198,None,None,http://curricul.web.nthu.edu.tw/files/13-1073-10921.php
國立清華大學,藝術與設計學系,18 新竹市,342,None,None,http://curricul.web.nthu.edu.tw/files/13-1073-10921.php
國立清華大學,音樂學系,18 新竹市,142,None,None,http://curricul.web.nthu.edu.tw/files/13-1073-10921.php
國立清華大學,人文社會學院學士班,18 新竹市,346,國x1.50 英x1.50 數乙x1.00 歷x1.00 公x1.00,452.05,http://curricul.web.nthu.edu.tw/files/13-1073-10921.php
國立清華大學,外國語文學系,18 新竹市,216,國x1.00 英x2.00 數乙x1.00 歷x1.00 地x1.00,464.1,http://curricul.web.nthu.edu.tw/files/13-1073-10921.php
國立清華大學,中國文學系,18 新竹市,204,國x1.50 英x1.25 數乙x1.00 歷x1.00 地x1.00,420.45,http://curricul.web.nthu.edu.tw/files/13-1073-10921.php
國立清華大學,中國語文學系,18 新竹市,141,None,None,http://curricul.web.nthu.edu.tw/files/13-1073-10921.php
國立清華大學,經濟學系,18 新竹市,460,None,None,http://curricul.web.nthu.edu.tw/files/13-1073-10921.php
國立清華大學,教育心理與諮商學系,18 新竹市,177,None,None,http://curricul.web.nthu.edu.tw/files/13-1073-10921.php
國立清華大學,計量財務金融學系,18 新竹市,225,None,None,http://curricul.web.nthu.edu.tw/files/13-1073-10921.php
國立清華大學,科技管理學院學士班,18 新竹市,207,國x1.50 英x2.00 數甲x1.50 物x1.00 化x1.00,515.1,http://curricul.web.nthu.edu.tw/files/13-1073-10921.php
國立清華大學,應用科學系,18 新竹市,137,None,None,http://curricul.web.nthu.edu.tw/files/13-1073-10921.php
國立清華大學,生命科學系,18 新竹市,193,英x1.25 數甲x1.00 物x1.00 化x1.25 生x1.25,434.25,http://curricul.web.nthu.edu.tw/files/13-1073-10921.php
國立清華大學,生命科學院學士班,18 新竹市,109,英x1.00 數甲x1.00 物x1.00 化x1.00 生x1.00,381.8,http://curricul.web.nthu.edu.tw/files/13-1073-10921.php
國立清華大學,環境與文化資源學系,18 新竹市,187,None,None,http://curricul.web.nthu.edu.tw/files/13-1073-10921.php
國立清華大學,化學系,18 新竹市,278,國x1.00 英x1.00 數甲x1.00 物x1.00 化x1.00,377.4,http://curricul.web.nthu.edu.tw/files/13-1073-10921.php
國立清華大學,物理學系,18 新竹市,290,None,None,http://curricul.web.nthu.edu.tw/files/13-1073-10921.php
